date,year,month,day,day_of_week,is_weekend,volume_millions,value_crores,avg_txn_value_inr
2016-10-20,2016,10,20,Thursday,0,0.01,0.56,560.0
2016-10-21,2016,10,21,Friday,0,0.01,0.62,620.0
2016-10-22,2016,10,22,Saturday,1,0.01,0.51,510.0
2016-10-23,2016,10,23,Sunday,1,0.01,0.47,470.0
2016-10-24,2016,10,24,Monday,0,0.01,0.58,580.0
2016-10-25,2016,10,25,Tuesday,0,0.01,0.56,560.0
2016-10-26,2016,10,26,Wednesday,0,0.01,0.53,530.0
2016-10-27,2016,10,27,Thursday,0,0.01,0.52,520.0
2016-10-28,2016,10,28,Friday,0,0.01,0.55,550.0
2016-10-29,2016,10,29,Saturday,1,0.01,0.45,450.0
2016-10-30,2016,10,30,Sunday,1,0.01,0.51,510.0
2016-10-31,2016,10,31,Monday,0,0.01,0.64,640.0
2016-11-01,2016,11,1,Tuesday,0,0.02,0.9,450.0
2016-11-02,2016,11,2,Wednesday,0,0.02,0.91,455.0
2016-11-03,2016,11,3,Thursday,0,0.02,0.79,395.0
2016-11-04,2016,11,4,Friday,0,0.02,0.83,415.0
2016-11-05,2016,11,5,Saturday,1,0.01,0.69,690.0
2016-11-06,2016,11,6,Sunday,1,0.01,0.69,690.0
2016-11-07,2016,11,7,Monday,0,0.02,0.84,420.0
2016-11-08,2016,11,8,Tuesday,0,0.02,0.8,400.0
2016-11-09,2016,11,9,Wednesday,0,0.02,0.77,385.0
2016-11-10,2016,11,10,Thursday,0,0.02,0.79,395.0
2016-11-11,2016,11,11,Friday,0,0.02,0.86,430.0
2016-11-12,2016,11,12,Saturday,1,0.01,0.66,660.0
2016-11-13,2016,11,13,Sunday,1,0.01,0.68,680.0
2016-11-14,2016,11,14,Monday,0,0.02,0.85,425.0
2016-11-15,2016,11,15,Tuesday,0,0.02,0.93,465.0
2016-11-16,2016,11,16,Wednesday,0,0.02,0.89,445.0
2016-11-17,2016,11,17,Thursday,0,0.02,0.89,445.0
2016-11-18,2016,11,18,Friday,0,0.02,0.95,475.0
2016-11-19,2016,11,19,Saturday,1,0.01,0.7,700.0
2016-11-20,2016,11,20,Sunday,1,0.02,0.75,375.0
2016-11-21,2016,11,21,Monday,0,0.02,0.93,465.0
2016-11-22,2016,11,22,Tuesday,0,0.02,0.95,475.0
2016-11-23,2016,11,23,Wednesday,0,0.02,0.88,440.0
2016-11-24,2016,11,24,Thursday,0,0.02,0.89,445.0
2016-11-25,2016,11,25,Friday,0,0.02,0.95,475.0
2016-11-26,2016,11,26,Saturday,1,0.01,0.65,650.0
2016-11-27,2016,11,27,Sunday,1,0.01,0.71,710.0
2016-11-28,2016,11,28,Monday,0,0.02,0.86,430.0
2016-11-29,2016,11,29,Tuesday,0,0.02,0.94,470.0
2016-11-30,2016,11,30,Wednesday,0,0.02,0.9,450.0
2016-12-01,2016,12,1,Thursday,0,0.08,2.76,345.0
2016-12-02,2016,12,2,Friday,0,0.08,2.75,343.75
2016-12-03,2016,12,3,Saturday,1,0.06,2.0,333.33
2016-12-04,2016,12,4,Sunday,1,0.06,2.11,351.67
2016-12-05,2016,12,5,Monday,0,0.07,2.35,335.71
2016-12-06,2016,12,6,Tuesday,0,0.06,2.26,376.67
2016-12-07,2016,12,7,Wednesday,0,0.06,2.31,385.0
2016-12-08,2016,12,8,Thursday,0,0.06,2.27,378.33
2016-12-09,2016,12,9,Friday,0,0.07,2.38,340.0
2016-12-10,2016,12,10,Saturday,1,0.05,1.96,392.0
2016-12-11,2016,12,11,Sunday,1,0.05,1.88,376.0
2016-12-12,2016,12,12,Monday,0,0.07,2.45,350.0
2016-12-13,2016,12,13,Tuesday,0,0.06,2.24,373.33
2016-12-14,2016,12,14,Wednesday,0,0.07,2.41,344.29
2016-12-15,2016,12,15,Thursday,0,0.06,2.25,375.0
2016-12-16,2016,12,16,Friday,0,0.07,2.46,351.43
2016-12-17,2016,12,17,Saturday,1,0.06,2.01,335.0
2016-12-18,2016,12,18,Sunday,1,0.05,1.87,374.0
2016-12-19,2016,12,19,Monday,0,0.07,2.43,347.14
2016-12-20,2016,12,20,Tuesday,0,0.07,2.39,341.43
2016-12-21,2016,12,21,Wednesday,0,0.06,2.19,365.0
2016-12-22,2016,12,22,Thursday,0,0.06,2.31,385.0
2016-12-23,2016,12,23,Friday,0,0.07,2.5,357.14
2016-12-24,2016,12,24,Saturday,1,0.06,2.01,335.0
2016-12-25,2016,12,25,Sunday,1,0.05,1.87,374.0
2016-12-26,2016,12,26,Monday,0,0.07,2.33,332.86
2016-12-27,2016,12,27,Tuesday,0,0.07,2.34,334.29
2016-12-28,2016,12,28,Wednesday,0,0.07,2.32,331.43
2016-12-29,2016,12,29,Thursday,0,0.07,2.32,331.43
2016-12-30,2016,12,30,Friday,0,0.08,2.89,361.25
2016-12-31,2016,12,31,Saturday,1,0.06,2.2,366.67
2017-01-01,2017,1,1,Sunday,1,0.13,5.39,414.62
2017-01-02,2017,1,2,Monday,0,0.16,6.66,416.25
2017-01-03,2017,1,3,Tuesday,0,0.13,5.35,411.54
2017-01-04,2017,1,4,Wednesday,0,0.14,5.77,412.14
2017-01-05,2017,1,5,Thursday,0,0.14,5.54,395.71
2017-01-06,2017,1,6,Friday,0,0.14,5.71,407.86
2017-01-07,2017,1,7,Saturday,1,0.12,4.75,395.83
2017-01-08,2017,1,8,Sunday,1,0.11,4.49,408.18
2017-01-09,2017,1,9,Monday,0,0.15,5.87,391.33
2017-01-10,2017,1,10,Tuesday,0,0.14,5.66,404.29
2017-01-11,2017,1,11,Wednesday,0,0.13,5.33,410.0
2017-01-12,2017,1,12,Thursday,0,0.14,5.62,401.43
2017-01-13,2017,1,13,Friday,0,0.15,5.97,398.0
2017-01-14,2017,1,14,Saturday,1,0.12,4.78,398.33
2017-01-15,2017,1,15,Sunday,1,0.12,4.96,413.33
2017-01-16,2017,1,16,Monday,0,0.14,5.7,407.14
2017-01-17,2017,1,17,Tuesday,0,0.13,5.34,410.77
2017-01-18,2017,1,18,Wednesday,0,0.13,5.32,409.23
2017-01-19,2017,1,19,Thursday,0,0.13,5.33,410.0
2017-01-20,2017,1,20,Friday,0,0.15,5.89,392.67
2017-01-21,2017,1,21,Saturday,1,0.12,4.7,391.67
2017-01-22,2017,1,22,Sunday,1,0.12,4.69,390.83
2017-01-23,2017,1,23,Monday,0,0.15,5.88,392.0
2017-01-24,2017,1,24,Tuesday,0,0.14,5.47,390.71
2017-01-25,2017,1,25,Wednesday,0,0.14,5.7,407.14
2017-01-26,2017,1,26,Thursday,0,0.13,5.42,416.92
2017-01-27,2017,1,27,Friday,0,0.16,6.35,396.88
2017-01-28,2017,1,28,Saturday,1,0.12,4.75,395.83
2017-01-29,2017,1,29,Sunday,1,0.11,4.51,410.0
2017-01-30,2017,1,30,Monday,0,0.16,6.4,400.0
2017-01-31,2017,1,31,Tuesday,0,0.16,6.38,398.75
2017-02-01,2017,2,1,Wednesday,0,0.17,7.78,457.65
2017-02-02,2017,2,2,Thursday,0,0.18,8.0,444.44
2017-02-03,2017,2,3,Friday,0,0.16,7.45,465.62
2017-02-04,2017,2,4,Saturday,1,0.13,5.78,444.62
2017-02-05,2017,2,5,Sunday,1,0.12,5.62,468.33
2017-02-06,2017,2,6,Monday,0,0.15,6.84,456.0
2017-02-07,2017,2,7,Tuesday,0,0.15,6.72,448.0
2017-02-08,2017,2,8,Wednesday,0,0.15,6.99,466.0
2017-02-09,2017,2,9,Thursday,0,0.15,6.86,457.33
2017-02-10,2017,2,10,Friday,0,0.16,7.1,443.75
2017-02-11,2017,2,11,Saturday,1,0.13,5.83,448.46
2017-02-12,2017,2,12,Sunday,1,0.13,5.87,451.54
2017-02-13,2017,2,13,Monday,0,0.15,6.97,464.67
2017-02-14,2017,2,14,Tuesday,0,0.15,6.84,456.0
2017-02-15,2017,2,15,Wednesday,0,0.15,6.83,455.33
2017-02-16,2017,2,16,Thursday,0,0.14,6.58,470.0
2017-02-17,2017,2,17,Friday,0,0.16,7.43,464.38
2017-02-18,2017,2,18,Saturday,1,0.13,5.91,454.62
2017-02-19,2017,2,19,Sunday,1,0.13,6.01,462.31
2017-02-20,2017,2,20,Monday,0,0.16,7.37,460.62
2017-02-21,2017,2,21,Tuesday,0,0.14,6.53,466.43
2017-02-22,2017,2,22,Wednesday,0,0.15,6.62,441.33
2017-02-23,2017,2,23,Thursday,0,0.15,6.92,461.33
2017-02-24,2017,2,24,Friday,0,0.16,7.46,466.25
2017-02-25,2017,2,25,Saturday,1,0.13,5.9,453.85
2017-02-26,2017,2,26,Sunday,1,0.14,6.58,470.0
2017-02-27,2017,2,27,Monday,0,0.18,8.36,464.44
2017-02-28,2017,2,28,Tuesday,0,0.18,8.1,450.0
2017-03-01,2017,3,1,Wednesday,0,0.24,8.97,373.75
2017-03-02,2017,3,2,Thursday,0,0.23,8.89,386.52
2017-03-03,2017,3,3,Friday,0,0.21,8.12,386.67
2017-03-04,2017,3,4,Saturday,1,0.17,6.62,389.41
2017-03-05,2017,3,5,Sunday,1,0.17,6.27,368.82
2017-03-06,2017,3,6,Monday,0,0.21,7.91,376.67
2017-03-07,2017,3,7,Tuesday,0,0.2,7.47,373.5
2017-03-08,2017,3,8,Wednesday,0,0.2,7.6,380.0
2017-03-09,2017,3,9,Thursday,0,0.21,8.11,386.19
2017-03-10,2017,3,10,Friday,0,0.2,7.76,388.0
2017-03-11,2017,3,11,Saturday,1,0.17,6.6,388.24
2017-03-12,2017,3,12,Sunday,1,0.16,6.08,380.0
2017-03-13,2017,3,13,Monday,0,0.21,7.85,373.81
2017-03-14,2017,3,14,Tuesday,0,0.21,7.83,372.86
2017-03-15,2017,3,15,Wednesday,0,0.2,7.6,380.0
2017-03-16,2017,3,16,Thursday,0,0.19,7.34,386.32
2017-03-17,2017,3,17,Friday,0,0.21,8.02,381.9
2017-03-18,2017,3,18,Saturday,1,0.17,6.6,388.24
2017-03-19,2017,3,19,Sunday,1,0.17,6.28,369.41
2017-03-20,2017,3,20,Monday,0,0.21,8.01,381.43
2017-03-21,2017,3,21,Tuesday,0,0.2,7.59,379.5
2017-03-22,2017,3,22,Wednesday,0,0.2,7.43,371.5
2017-03-23,2017,3,23,Thursday,0,0.21,8.07,384.29
2017-03-24,2017,3,24,Friday,0,0.22,8.33,378.64
2017-03-25,2017,3,25,Saturday,1,0.16,5.98,373.75
2017-03-26,2017,3,26,Sunday,1,0.17,6.49,381.76
2017-03-27,2017,3,27,Monday,0,0.21,7.81,371.9
2017-03-28,2017,3,28,Tuesday,0,0.21,7.77,370.0
2017-03-29,2017,3,29,Wednesday,0,0.2,7.4,370.0
2017-03-30,2017,3,30,Thursday,0,0.23,8.69,377.83
2017-03-31,2017,3,31,Friday,0,0.25,9.55,382.0
2017-04-01,2017,4,1,Saturday,1,0.23,9.07,394.35
2017-04-02,2017,4,2,Sunday,1,0.22,8.42,382.73
2017-04-03,2017,4,3,Monday,0,0.24,9.36,390.0
2017-04-04,2017,4,4,Tuesday,0,0.23,8.87,385.65
2017-04-05,2017,4,5,Wednesday,0,0.23,8.82,383.48
2017-04-06,2017,4,6,Thursday,0,0.24,9.48,395.0
2017-04-07,2017,4,7,Friday,0,0.25,9.83,393.2
2017-04-08,2017,4,8,Saturday,1,0.19,7.31,384.74
2017-04-09,2017,4,9,Sunday,1,0.2,7.9,395.0
2017-04-10,2017,4,10,Monday,0,0.26,10.02,385.38
2017-04-11,2017,4,11,Tuesday,0,0.24,9.28,386.67
2017-04-12,2017,4,12,Wednesday,0,0.22,8.59,390.45
2017-04-13,2017,4,13,Thursday,0,0.23,8.87,385.65
2017-04-14,2017,4,14,Friday,0,0.26,10.06,386.92
2017-04-15,2017,4,15,Saturday,1,0.19,7.46,392.63
2017-04-16,2017,4,16,Sunday,1,0.2,7.77,388.5
2017-04-17,2017,4,17,Monday,0,0.25,9.66,386.4
2017-04-18,2017,4,18,Tuesday,0,0.22,8.75,397.73
2017-04-19,2017,4,19,Wednesday,0,0.23,8.98,390.43
2017-04-20,2017,4,20,Thursday,0,0.21,8.12,386.67
2017-04-21,2017,4,21,Friday,0,0.24,9.44,393.33
2017-04-22,2017,4,22,Saturday,1,0.19,7.58,398.95
2017-04-23,2017,4,23,Sunday,1,0.19,7.31,384.74
2017-04-24,2017,4,24,Monday,0,0.25,9.89,395.6
2017-04-25,2017,4,25,Tuesday,0,0.22,8.61,391.36
2017-04-26,2017,4,26,Wednesday,0,0.23,8.88,386.09
2017-04-27,2017,4,27,Thursday,0,0.23,9.04,393.04
2017-04-28,2017,4,28,Friday,0,0.26,10.11,388.85
2017-04-29,2017,4,29,Saturday,1,0.21,8.35,397.62
2017-04-30,2017,4,30,Sunday,1,0.23,9.16,398.26
2017-05-01,2017,5,1,Monday,0,0.36,15.59,433.06
2017-05-02,2017,5,2,Tuesday,0,0.33,14.4,436.36
2017-05-03,2017,5,3,Wednesday,0,0.3,13.08,436.0
2017-05-04,2017,5,4,Thursday,0,0.3,12.98,432.67
2017-05-05,2017,5,5,Friday,0,0.32,13.7,428.12
2017-05-06,2017,5,6,Saturday,1,0.26,10.99,422.69
2017-05-07,2017,5,7,Sunday,1,0.25,10.82,432.8
2017-05-08,2017,5,8,Monday,0,0.32,13.59,424.69
2017-05-09,2017,5,9,Tuesday,0,0.31,13.16,424.52
2017-05-10,2017,5,10,Wednesday,0,0.31,13.52,436.13
2017-05-11,2017,5,11,Thursday,0,0.29,12.42,428.28
2017-05-12,2017,5,12,Friday,0,0.34,14.76,434.12
2017-05-13,2017,5,13,Saturday,1,0.24,10.21,425.42
2017-05-14,2017,5,14,Sunday,1,0.25,10.91,436.4
2017-05-15,2017,5,15,Monday,0,0.32,13.78,430.62
2017-05-16,2017,5,16,Tuesday,0,0.3,13.01,433.67
2017-05-17,2017,5,17,Wednesday,0,0.29,12.66,436.55
2017-05-18,2017,5,18,Thursday,0,0.3,12.82,427.33
2017-05-19,2017,5,19,Friday,0,0.32,13.74,429.38
2017-05-20,2017,5,20,Saturday,1,0.25,10.74,429.6
2017-05-21,2017,5,21,Sunday,1,0.26,11.3,434.62
2017-05-22,2017,5,22,Monday,0,0.32,13.69,427.81
2017-05-23,2017,5,23,Tuesday,0,0.29,12.64,435.86
2017-05-24,2017,5,24,Wednesday,0,0.31,13.25,427.42
2017-05-25,2017,5,25,Thursday,0,0.3,13.02,434.0
2017-05-26,2017,5,26,Friday,0,0.33,14.25,431.82
2017-05-27,2017,5,27,Saturday,1,0.26,11.21,431.15
2017-05-28,2017,5,28,Sunday,1,0.25,10.65,426.0
2017-05-29,2017,5,29,Monday,0,0.31,13.33,430.0
2017-05-30,2017,5,30,Tuesday,0,0.35,15.17,433.43
2017-05-31,2017,5,31,Wednesday,0,0.35,15.11,431.71
2017-06-01,2017,6,1,Thursday,0,0.39,17.24,442.05
2017-06-02,2017,6,2,Friday,0,0.42,18.69,445.0
2017-06-03,2017,6,3,Saturday,1,0.3,13.32,444.0
2017-06-04,2017,6,4,Sunday,1,0.28,12.48,445.71
2017-06-05,2017,6,5,Monday,0,0.36,16.0,444.44
2017-06-06,2017,6,6,Tuesday,0,0.34,14.91,438.53
2017-06-07,2017,6,7,Wednesday,0,0.34,14.9,438.24
2017-06-08,2017,6,8,Thursday,0,0.35,15.49,442.57
2017-06-09,2017,6,9,Friday,0,0.38,16.57,436.05
2017-06-10,2017,6,10,Saturday,1,0.3,13.12,437.33
2017-06-11,2017,6,11,Sunday,1,0.3,13.34,444.67
2017-06-12,2017,6,12,Monday,0,0.36,15.76,437.78
2017-06-13,2017,6,13,Tuesday,0,0.35,15.31,437.43
2017-06-14,2017,6,14,Wednesday,0,0.34,14.86,437.06
2017-06-15,2017,6,15,Thursday,0,0.34,15.15,445.59
2017-06-16,2017,6,16,Friday,0,0.37,16.14,436.22
2017-06-17,2017,6,17,Saturday,1,0.29,12.79,441.03
2017-06-18,2017,6,18,Sunday,1,0.3,13.02,434.0
2017-06-19,2017,6,19,Monday,0,0.35,15.38,439.43
2017-06-20,2017,6,20,Tuesday,0,0.36,15.94,442.78
2017-06-21,2017,6,21,Wednesday,0,0.33,14.55,440.91
2017-06-22,2017,6,22,Thursday,0,0.33,14.45,437.88
2017-06-23,2017,6,23,Friday,0,0.38,16.72,440.0
2017-06-24,2017,6,24,Saturday,1,0.3,13.11,437.0
2017-06-25,2017,6,25,Sunday,1,0.3,13.03,434.33
2017-06-26,2017,6,26,Monday,0,0.36,16.03,445.28
2017-06-27,2017,6,27,Tuesday,0,0.34,14.99,440.88
2017-06-28,2017,6,28,Wednesday,0,0.33,14.6,442.42
2017-06-29,2017,6,29,Thursday,0,0.39,17.29,443.33
2017-06-30,2017,6,30,Friday,0,0.41,18.28,445.85
2017-07-01,2017,7,1,Saturday,1,0.54,17.61,326.11
2017-07-02,2017,7,2,Sunday,1,0.52,16.94,325.77
2017-07-03,2017,7,3,Monday,0,0.55,17.86,324.73
2017-07-04,2017,7,4,Tuesday,0,0.53,17.25,325.47
2017-07-05,2017,7,5,Wednesday,0,0.54,17.64,326.67
2017-07-06,2017,7,6,Thursday,0,0.53,17.12,323.02
2017-07-07,2017,7,7,Friday,0,0.57,18.38,322.46
2017-07-08,2017,7,8,Saturday,1,0.46,14.93,324.57
2017-07-09,2017,7,9,Sunday,1,0.46,14.93,324.57
2017-07-10,2017,7,10,Monday,0,0.55,18.03,327.82
2017-07-11,2017,7,11,Tuesday,0,0.53,17.17,323.96
2017-07-12,2017,7,12,Wednesday,0,0.54,17.54,324.81
2017-07-13,2017,7,13,Thursday,0,0.51,16.66,326.67
2017-07-14,2017,7,14,Friday,0,0.56,18.08,322.86
2017-07-15,2017,7,15,Saturday,1,0.44,14.43,327.95
2017-07-16,2017,7,16,Sunday,1,0.45,14.69,326.44
2017-07-17,2017,7,17,Monday,0,0.57,18.45,323.68
2017-07-18,2017,7,18,Tuesday,0,0.56,18.19,324.82
2017-07-19,2017,7,19,Wednesday,0,0.55,17.87,324.91
2017-07-20,2017,7,20,Thursday,0,0.53,17.34,327.17
2017-07-21,2017,7,21,Friday,0,0.58,18.8,324.14
2017-07-22,2017,7,22,Saturday,1,0.44,14.28,324.55
2017-07-23,2017,7,23,Sunday,1,0.45,14.8,328.89
2017-07-24,2017,7,24,Monday,0,0.56,18.14,323.93
2017-07-25,2017,7,25,Tuesday,0,0.54,17.59,325.74
2017-07-26,2017,7,26,Wednesday,0,0.52,16.99,326.73
2017-07-27,2017,7,27,Thursday,0,0.54,17.69,327.59
2017-07-28,2017,7,28,Friday,0,0.6,19.61,326.83
2017-07-29,2017,7,29,Saturday,1,0.45,14.75,327.78
2017-07-30,2017,7,30,Sunday,1,0.53,17.27,325.85
2017-07-31,2017,7,31,Monday,0,0.66,21.45,325.0
2017-08-01,2017,8,1,Tuesday,0,1.13,38.85,343.81
2017-08-02,2017,8,2,Wednesday,0,1.15,39.59,344.26
2017-08-03,2017,8,3,Thursday,0,0.99,34.21,345.56
2017-08-04,2017,8,4,Friday,0,1.08,37.03,342.87
2017-08-05,2017,8,5,Saturday,1,0.82,28.27,344.76
2017-08-06,2017,8,6,Sunday,1,0.85,29.09,342.24
2017-08-07,2017,8,7,Monday,0,1.06,36.41,343.49
2017-08-08,2017,8,8,Tuesday,0,1.04,35.68,343.08
2017-08-09,2017,8,9,Wednesday,0,1.02,35.18,344.9
2017-08-10,2017,8,10,Thursday,0,1.06,36.4,343.4
2017-08-11,2017,8,11,Friday,0,1.05,36.14,344.19
2017-08-12,2017,8,12,Saturday,1,0.87,29.96,344.37
2017-08-13,2017,8,13,Sunday,1,0.85,29.25,344.12
2017-08-14,2017,8,14,Monday,0,1.11,38.15,343.69
2017-08-15,2017,8,15,Tuesday,0,0.97,33.36,343.92
2017-08-16,2017,8,16,Wednesday,0,0.97,33.33,343.61
2017-08-17,2017,8,17,Thursday,0,0.98,33.58,342.65
2017-08-18,2017,8,18,Friday,0,1.01,34.75,344.06
2017-08-19,2017,8,19,Saturday,1,0.83,28.53,343.73
2017-08-20,2017,8,20,Sunday,1,0.82,28.29,345.0
2017-08-21,2017,8,21,Monday,0,1.05,36.06,343.43
2017-08-22,2017,8,22,Tuesday,0,1.0,34.54,345.4
2017-08-23,2017,8,23,Wednesday,0,1.05,36.12,344.0
2017-08-24,2017,8,24,Thursday,0,1.02,35.17,344.8
2017-08-25,2017,8,25,Friday,0,1.06,36.34,342.83
2017-08-26,2017,8,26,Saturday,1,0.82,28.14,343.17
2017-08-27,2017,8,27,Sunday,1,0.86,29.57,343.84
2017-08-28,2017,8,28,Monday,0,1.0,34.55,345.5
2017-08-29,2017,8,29,Tuesday,0,1.05,36.07,343.52
2017-08-30,2017,8,30,Wednesday,0,1.18,40.71,345.0
2017-08-31,2017,8,31,Thursday,0,1.13,38.77,343.1
2017-09-01,2017,9,1,Friday,0,2.09,77.4,370.33
2017-09-02,2017,9,2,Saturday,1,1.81,67.02,370.28
2017-09-03,2017,9,3,Sunday,1,1.49,55.39,371.74
2017-09-04,2017,9,4,Monday,0,1.92,71.13,370.47
2017-09-05,2017,9,5,Tuesday,0,1.68,62.3,370.83
2017-09-06,2017,9,6,Wednesday,0,1.73,64.26,371.45
2017-09-07,2017,9,7,Thursday,0,1.76,65.44,371.82
2017-09-08,2017,9,8,Friday,0,1.91,70.76,370.47
2017-09-09,2017,9,9,Saturday,1,1.48,54.73,369.8
2017-09-10,2017,9,10,Sunday,1,1.53,56.84,371.5
2017-09-11,2017,9,11,Monday,0,1.8,66.61,370.06
2017-09-12,2017,9,12,Tuesday,0,1.76,65.15,370.17
2017-09-13,2017,9,13,Wednesday,0,1.77,65.67,371.02
2017-09-14,2017,9,14,Thursday,0,1.79,66.44,371.17
2017-09-15,2017,9,15,Friday,0,1.94,72.06,371.44
2017-09-16,2017,9,16,Saturday,1,1.44,53.41,370.9
2017-09-17,2017,9,17,Sunday,1,1.42,52.61,370.49
2017-09-18,2017,9,18,Monday,0,1.92,71.21,370.89
2017-09-19,2017,9,19,Tuesday,0,1.78,66.09,371.29
2017-09-20,2017,9,20,Wednesday,0,1.72,63.96,371.86
2017-09-21,2017,9,21,Thursday,0,1.85,68.48,370.16
2017-09-22,2017,9,22,Friday,0,1.91,70.9,371.2
2017-09-23,2017,9,23,Saturday,1,1.56,57.93,371.35
2017-09-24,2017,9,24,Sunday,1,1.5,55.75,371.67
2017-09-25,2017,9,25,Monday,0,1.96,72.75,371.17
